"ordered_names","ordered_items"
"A_altruism_1","Love to help others."
"A_altruism_2","Am concerned about others."
"A_altruism_3","Am indifferent to the feelings of others."
"A_altruism_4","Take no time for others."
"A_cooperation_1","Love a good fight."
"A_cooperation_2","Yell at people."
"A_cooperation_3","Insult people."
"A_cooperation_4","Get back at others."
"A_modesty_1","Believe that I am better than others."
"A_modesty_2","Think highly of myself."
"A_modesty_3","Have a high opinion of myself."
"A_modesty_4","Boast about my virtues."
"A_morality_1","Use others for my own ends."
"A_morality_2","Cheat to get ahead."
"A_morality_3","Take advantage of others."
"A_morality_4","Obstruct others' plans."
"A_sympathy_1","Sympathize with the homeless."
"A_sympathy_2","Feel sympathy for those who are worse off than myself."
"A_sympathy_3","Am not interested in other people's problems."
"A_sympathy_4","Try not to think about the needy."
"A_trust_1","Trust others."
"A_trust_2","Believe that others have good intentions."
"A_trust_3","Trust what people say."
"A_trust_4","Distrust people."
"C_achievement_striving_1","Work hard."
"C_achievement_striving_2","Do more than what's expected of me."
"C_achievement_striving_3","Do just enough work to get by."
"C_achievement_striving_4","Put little time and effort into my work."
"C_cautiousness_1","Jump into things without thinking."
"C_cautiousness_2","Make rash decisions."
"C_cautiousness_3","Rush into things."
"C_cautiousness_4","Act without thinking."
"C_dutifulness_1","Keep my promises."
"C_dutifulness_2","Tell the truth."
"C_dutifulness_3","Break rules."
"C_dutifulness_4","Break my promises."
"C_orderliness_1","Like to tidy up."
"C_orderliness_2","Often forget to put things back in their proper place."
"C_orderliness_3","Leave a mess in my room."
"C_orderliness_4","Leave my belongings around."
"C_self_discipline_1","Am always prepared."
"C_self_discipline_2","Carry out my plans."
"C_self_discipline_3","Waste my time."
"C_self_discipline_4","Have difficulty starting tasks."
"C_self_efficacy_1","Complete tasks successfully."
"C_self_efficacy_2","Excel in what I do."
"C_self_efficacy_3","Handle tasks smoothly."
"C_self_efficacy_4","Know how to get things done."
"E_activity_level_1","Am always busy."
"E_activity_level_2","Am always on the go."
"E_activity_level_3","Do a lot in my spare time."
"E_activity_level_4","Like to take it easy."
"E_assertiveness_1","Take charge."
"E_assertiveness_2","Try to lead others."
"E_assertiveness_3","Take control of things."
"E_assertiveness_4","Wait for others to lead the way."
"E_cheerfulness_1","Radiate joy."
"E_cheerfulness_2","Have a lot of fun."
"E_cheerfulness_3","Love life."
"E_cheerfulness_4","Look at the bright side of life."
"E_excitement_seeking_1","Love excitement."
"E_excitement_seeking_2","Seek adventure."
"E_excitement_seeking_3","Enjoy being reckless."
"E_excitement_seeking_4","Act wild and crazy."
"E_friendliness_1","Make friends easily."
"E_friendliness_2","Feel comfortable around people."
"E_friendliness_3","Avoid contacts with others."
"E_friendliness_4","Keep others at a distance."
"E_gregariousness_1","Love large parties."
"E_gregariousness_2","Talk to a lot of different people at parties."
"E_gregariousness_3","Prefer to be alone."
"E_gregariousness_4","Avoid crowds."
"N_anger_1","Get angry easily."
"N_anger_2","Get irritated easily."
"N_anger_3","Lose my temper."
"N_anger_4","Am not easily annoyed."
"N_anxiety_1","Worry about things."
"N_anxiety_2","Fear for the worst."
"N_anxiety_3","Am afraid of many things."
"N_anxiety_4","Get stressed out easily."
"N_depression_1","Often feel blue."
"N_depression_2","Dislike myself."
"N_depression_3","Am often down in the dumps."
"N_depression_4","Feel comfortable with myself."
"N_immoderation_1","Go on binges."
"N_immoderation_2","Rarely overindulge."
"N_immoderation_3","Easily resist temptations."
"N_immoderation_4","Am able to control my cravings."
"N_self_consciousness_1","Find it difficult to approach others."
"N_self_consciousness_2","Am afraid to draw attention to myself."
"N_self_consciousness_3","Only feel comfortable with friends."
"N_self_consciousness_4","Am not bothered by difficult social situations."
"N_vulnerability_1","Panic easily."
"N_vulnerability_2","Become overwhelmed by events."
"N_vulnerability_3","Feel that I'm unable to deal with things."
"N_vulnerability_4","Remain calm under pressure."
"O_adventurousness_1","Prefer variety to routine."
"O_adventurousness_2","Prefer to stick with things that I know."
"O_adventurousness_3","Dislike changes."
"O_adventurousness_4","Am attached to conventional ways."
"O_artistic_interests_1","Believe in the importance of art."
"O_artistic_interests_2","See beauty in things that others might not notice."
"O_artistic_interests_3","Do not like poetry."
"O_artistic_interests_4","Do not enjoy going to art museums."
"O_emotionality_1","Experience my emotions intensely."
"O_emotionality_2","Feel others' emotions."
"O_emotionality_3","Rarely notice my emotional reactions."
"O_emotionality_4","Don't understand people who get emotional."
"O_imagination_1","Have a vivid imagination."
"O_imagination_2","Enjoy wild flights of fantasy."
"O_imagination_3","Love to daydream."
"O_imagination_4","Like to get lost in thought."
"O_intellect_1","Love to read challenging material."
"O_intellect_2","Avoid philosophical discussions."
"O_intellect_3","Have difficulty understanding abstract ideas."
"O_intellect_4","Am not interested in theoretical discussions."
"O_liberalism_1","Tend to vote for liberal political candidates."
"O_liberalism_2","Believe that there is no absolute right or wrong."
"O_liberalism_3","Tend to vote for conservative political candidates."
"O_liberalism_4","Believe that we should be tough on crime."
